,PIN,Property Class,Neighborhood Code,Land Square Feet,Town Code,Apartments,Wall Material,Roof Material,Basement,Basement Finish,Central Heating,Other Heating,Central Air,Fireplaces,Attic Type,Attic Finish,Design Plan,Cathedral Ceiling,Construction Quality,Site Desirability,Garage 1 Size,Garage 1 Material,Garage 1 Attachment,Garage 1 Area,Garage 2 Size,Garage 2 Material,Garage 2 Attachment,Garage 2 Area,Porch,Other Improvements,Building Square Feet,Repair Condition,Multi Code,Number of Commercial Units,Estimate (Land),Estimate (Building),Deed No.,Sale Price,Longitude,Latitude,Census Tract,Multi Property Indicator,Modeling Group,Age,Use,O'Hare Noise,Floodplain,Road Proximity,Sale Year,Sale Quarter,Sale Half-Year,Sale Quarter of Year,Sale Month of Year,Sale Half of Year,Most Recent Sale,Age Decade,Pure Market Filter,Garage Indicator,Neigborhood Code (mapping),Town and Neighborhood,Description,Lot Size
0,17294100610000,203,50,2500.0,76,0.0,2.0,1.0,1.0,3.0,1.0,5.0,0.0,0.0,3.0,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1,0.0,1280.0,2.0,2.0,0.0,50000,139500,1525745095,1,-87.6542639826069,41.8408026671445,600600.0,0,SF,132,1,0.0,0.0,0.0,2015,75,38,3,9,2,1.0,13.2,0,0.0,50,7650,"This property, sold on 09/14/2015, is a one-story houeshold located at 2950 S LYMAN ST.It has a total of 6 rooms, 3 of which are bedrooms, and 1.0 of which are bathrooms.",2500.0
1,13272240180000,202,120,3780.0,71,0.0,2.0,1.0,1.0,1.0,2.0,5.0,0.0,1.0,2.0,3,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,1,0.0,997.0,2.0,2.0,0.0,49140,177500,1814316064,285000,-87.7359661278049,41.9330159669524,200100.0,0,SF,96,1,0.0,0.0,0.0,2018,86,43,2,5,1,1.0,9.6,1,1.0,120,71120,"This property, sold on 05/23/2018, is a one-story houeshold located at 2844 N LOWELL AVE.It has a total of 6 rooms, 3 of which are bedrooms, and 1.0 of which are bathrooms.",3780.0
2,25221150230000,202,210,4375.0,70,0.0,2.0,1.0,2.0,3.0,1.0,5.0,0.0,0.0,3.0,0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,0.0,907.0,2.0,2.0,0.0,26250,63470,1604916034,22000,-87.6164960350792,41.6867382451726,491400.0,0,SF,112,1,0.0,0.0,0.0,2016,77,39,1,2,1,0.0,11.2,1,1.0,210,70210,"This property, sold on 02/18/2016, is a one-story houeshold located at 11415 S PRAIRIE AVE.It has a total of 7 rooms, 3 of which are bedrooms, and 1.0 of which are bathrooms.",4375.000000000001
3,10251130030000,203,220,4375.0,17,0.0,3.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,2.0,1,2.0,0.0,2.0,2.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,0.0,1174.0,2.0,2.0,0.0,29530,194430,1320441110,225000,-87.7014821163876,42.0199374190095,810301.0,0,SF,63,1,0.0,0.0,0.0,2013,67,34,3,7,2,1.0,6.3,1,1.0,220,17220,"This property, sold on 07/23/2013, is a one-story with partially livable attics houeshold located at 2012 DOBSON ST.It has a total of 5 rooms, 3 of which are bedrooms, and 1.5 of which are bathrooms.",4375.000000000001
4,31361040550000,202,120,8400.0,32,0.0,3.0,1.0,2.0,3.0,2.0,5.0,0.0,0.0,1.0,3,2.0,0.0,2.0,2.0,1.0,3.0,2.0,2.0,7.0,0.0,0.0,0.0,3,0.0,949.0,2.0,2.0,0.0,23100,30160,1616242072,22600,-87.6822364676179,41.4764299268177,830300.0,0,SF,63,1,0.0,0.0,1.0,2016,78,39,2,6,1,0.0,6.3,1,1.0,120,32120,"This property, sold on 06/10/2016, is a one-story houeshold located at 104 SAUK TRL.It has a total of 5 rooms, 2 of which are bedrooms, and 1.0 of which are bathrooms.",8399.999999999998
5,19174010300000,203,380,4390.0,72,0.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,0.0,3.0,0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,0.0,1101.0,2.0,3.0,0.0,39510,154470,1820717045,1,-87.7696612701436,41.7845804960368,640300.0,0,SF,58,1,0.0,0.0,0.0,2018,87,44,3,7,2,1.0,5.8,0,1.0,380,72380,"This property, sold on 07/26/2018, is a one-story houeshold located at 5920 S MAYFIELD AVE.It has a total of 5 rooms, 3 of which are bedrooms, and 1.0 of which are bathrooms.",4389.999999999999
6,30314240080000,203,181,10890.0,37,0.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,0.0,2.0,1,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,0.0,1734.0,2.0,2.0,0.0,35390,65450,1729918020,100000,-87.5479807294386,41.5579004517825,828202.0,0,SF,109,1,0.0,0.0,1.0,2017,84,42,4,10,2,1.0,10.9,1,1.0,181,37181,"This property, sold on 10/26/2017, is a one-story with partially livable attics houeshold located at 2820 186TH ST.It has a total of 6 rooms, 4 of which are bedrooms, and 1.5 of which are bathrooms.",10890.0
7,4172060130000,208,52,9844.0,25,0.0,1.0,1.0,3.0,3.0,1.0,5.0,1.0,1.0,3.0,0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,7.0,0.0,0.0,0.0,3,0.0,3914.0,2.0,2.0,0.0,93510,616560,1624301064,795000,-87.8556156249007,42.1186184526252,801606.0,0,SF,17,1,0.0,0.0,0.0,2016,79,40,3,8,2,1.0,1.7,1,1.0,52,2552,"This property, sold on 08/30/2016, is a two-story houeshold located at 3034 PALM LN.It has a total of 10 rooms, 4 of which are bedrooms, and 2.5 of which are bathrooms.",9844.0
8,13232040260000,205,70,3100.0,71,0.0,2.0,2.0,1.0,3.0,1.0,5.0,0.0,0.0,3.0,0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,7.0,0.0,0.0,0.0,1,0.0,2072.0,2.0,2.0,0.0,43400,265640,1623801003,675000,-87.7120162646014,41.9533129061159,160800.0,0,SF,100,1,0.0,0.0,0.0,2016,79,40,3,8,2,1.0,10.0,1,1.0,70,7170,"This property, sold on 08/25/2016, is a two-story houeshold located at 3940 N CHRISTIANA AVE.It has a total of 8 rooms, 4 of which are bedrooms, and 2.0 of which are bathrooms.",3099.9999999999995
9,2291070550000,203,33,9600.0,29,0.0,1.0,1.0,4.0,3.0,1.0,5.0,1.0,0.0,3.0,0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,3,0.0,1546.0,2.0,2.0,0.0,55200,206510,1911513048,270000,-88.101858316498,42.0917552272251,804105.0,0,SF,48,1,0.0,0.0,0.0,2019,90,45,2,4,1,1.0,4.8,1,1.0,33,2933,"This property, sold on 04/25/2019, is a one-story houeshold located at 3755 LEXINGTON DR.It has a total of 6 rooms, 3 of which are bedrooms, and 1.5 of which are bathrooms.",9600.0
